2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 459, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 460, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2559) in creature_equip_template.itemEntry1 for entry = 461, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1899) in creature_equip_template.itemEntry1 for entry = 464, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2717) in creature_equip_template.itemEntry1 for entry = 465, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=46987) in creature_equip_template.itemEntry1 for entry = 466, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1906) in creature_equip_template.itemEntry1 for entry = 468, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2180) in creature_equip_template.itemEntry1 for entry = 469, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1896) in creature_equip_template.itemEntry2 for entry = 469, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1909) in creature_equip_template.itemEntry1 for entry = 472, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1900) in creature_equip_template.itemEntry1 for entry = 473, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 474, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1901) in creature_equip_template.itemEntry1 for entry = 475, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 476, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 478, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5278) in creature_equip_template.itemEntry1 for entry = 481, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2716) in creature_equip_template.itemEntry1 for entry = 482, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2197) in creature_equip_template.itemEntry1 for entry = 483, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1896) in creature_equip_template.itemEntry1 for entry = 485, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1957) in creature_equip_template.itemEntry2 for entry = 485, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1983) in creature_equip_template.itemEntry1 for entry = 486, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1899) in creature_equip_template.itemEntry1 for entry = 487, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2053) in creature_equip_template.itemEntry2 for entry = 487, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 487, forced to 0.
